trm_cde,crs_comp1,crs_comp2,crs_comp3,crs_title,credit_hrs,monday_cde,tuesday_cde,wednesday_cde,thursday_cde,friday_cde,begin_tim,end_tim,last_name,Ref Number,comment_txt
10,ACCT,201,A,PRINCIPLES OF ACCOUNTING I,3,M,,W,,F,9:00:00 AM,9:50:00 AM,Stone,1,Online materials fee
10,ACCT,201,B,PRINCIPLES OF ACCOUNTING I,3,M,,W,,F,11:00:00 AM,11:50:00 AM,Snyder,2,Online materials fee
10,ACCT,201,D,PRINCIPLES OF ACCOUNTING I,3,M,,W,,F,1:00:00 PM,1:50:00 PM,Snyder,3,Online materials fee
10,ACCT,201,E,PRINCIPLES OF ACCOUNTING I,3,M,,W,,F,2:00:00 PM,2:50:00 PM,Snyder,4,Online materials fee
10,ACCT,201,O,PRINCIPLES OF ACCOUNTING I,3,,,,,,,,Stone,5,Online materials fee
30,ACCT,202,A,PRINCIPLES OF ACCOUNTING II,3,M,,W,,F,9:00:00 AM,9:50:00 AM,Stone,6,ACCT 201; Online Materials Fee
30,ACCT,202,B,PRINCIPLES OF ACCOUNTING II,3,M,,W,,F,11:00:00 AM,11:50:00 AM,Stone,7,ACCT 201; Online Materials Fee
30,ACCT,202,D,PRINCIPLES OF ACCOUNTING II,3,M,,W,,F,1:00:00 PM,1:50:00 PM,Snyder,8,ACCT 201; Online Materials Fee
30,ACCT,202,E,PRINCIPLES OF ACCOUNTING II,3,M,,W,,F,3:00:00 PM,3:50:00 PM,Snyder,9,ACCT 201; Online Materials Fee
30,ACCT,202,O,PRINCIPLES OF ACCOUNTING II,3,,,,,,,,Stone,10,ACCT 201; Online Materials Fee
10,ACCT,301,A,INTERMEDIATE ACCOUNTING I,3,,,,R,,4:00:00 PM,5:50:00 PM,McFeaters,11,
10,ACCT,301,A,INTERMEDIATE ACCOUNTING I,3,M,,W,,F,8:00:00 AM,8:50:00 AM,McFeaters,12,ACCT 202 Online Materials Fee
10,ACCT,301,B,INTERMEDIATE ACCOUNTING I,3,,,,R,,4:00:00 PM,5:50:00 PM,Stone,13,
10,ACCT,301,B,INTERMEDIATE ACCOUNTING I,3,M,,W,,F,10:00:00 AM,10:50:00 AM,Stone,14,ACCT 202 Online Materials Fee
30,ACCT,302,A,INTERMEDIATE ACCOUNTING II,3,M,,W,,F,8:00:00 AM,8:50:00 AM,McFeaters,15,ACCT 301
30,ACCT,302,A,INTERMEDIATE ACCOUNTING II,3,,,,R,,4:00:00 PM,5:50:00 PM,McFeaters,16,
30,ACCT,302,B,INTERMEDIATE ACCOUNTING II,3,,,,R,,4:00:00 PM,5:50:00 PM,McFeaters,17,
30,ACCT,302,B,INTERMEDIATE ACCOUNTING II,3,M,,W,,F,10:00:00 AM,10:50:00 AM,McFeaters,18,ACCT 301
10,ACCT,303,A,COST ACCOUNTING,3,,T,,R,,8:00:00 AM,9:15:00 AM,McFeaters,19,ACCT 202
30,ACCT,321,A,ACCT INFORMATION SYSTEMS,3,,T,,R,,10:05:00 AM,11:20:00 AM,Stone,20,ACCT 202
10,ACCT,401,A,ADVANCED ACCOUNTING I,3,,T,,R,,10:05:00 AM,11:20:00 AM,Stone,21,ACCT 302 Online Materials Fee
30,ACCT,402,A,ADVANCED ACCOUNTING II,3,M,,W,,F,12:00:00 PM,12:50:00 PM,Snyder,22,ACCT 302
10,ACCT,403,B,AUDITING,3,,T,,R,,11:30:00 AM,12:45:00 PM,DiDonato,23,ACCT 302 321 Online Mat Fee
30,ACCT,404,A,ADVANCED AUDITING,3,M,,,,,6:30:00 PM,9:00:00 PM,DiDonato,24,ACCT 403
10,ACCT,405,A,TAX ACCOUNTING,3,,T,,R,,10:05:00 AM,11:20:00 AM,Snyder,25,ACCT 202;SR STANDING
10,ACCT,405,B,TAX ACCOUNTING,3,,T,,R,,1:00:00 PM,2:15:00 PM,Snyder,26,ACCT 202; SR STANDING
30,ACCT,406,A,ADVANCED TAX ACCT,3,,T,,R,,1:00:00 PM,2:15:00 PM,Snyder,27,ACCT 405
30,ACCT,410,A,CONTEMP ACCT THEORY/PRACTICE,3,,T,,R,,8:00:00 AM,9:15:00 AM,McFeaters,28,ACCT 302 & SR STANDING
10,ART,101,A,ELEMENTS AND PRINCIPLES OF DRAWING,3,M,,W,,,10:00:00 AM,11:15:00 AM,Sanders,29,
30,ART,103,A,CERAMICS I HANDBUILDING,3,,T,,R,,1:00:00 PM,2:15:00 PM,Rhoades,30,FEE REQUIRED
10,ART,103,A,CERAMICS I HANDBUILDING,3,,T,,R,,1:00:00 PM,2:15:00 PM,Rhoades,31,FEE REQUIRED
30,ART,104,A,CERAMICS I WHEEL,3,,T,,R,,10:05:00 AM,11:20:00 AM,Rhoades,32,FEE REQUIRED
10,ART,104,A,CERAMICS I WHEEL,3,,T,,R,,10:05:00 AM,11:20:00 AM,Rhoades,33,FEE REQUIRED
10,ART,104,B,CERAMICS I WHEEL,3,,T,,R,,2:30:00 PM,3:45:00 PM,Rhoades,34,FEE REQUIRED
30,ART,104,B,CERAMICS I WHEEL,3,,T,,R,,2:30:00 PM,3:45:00 PM,Rhoades,35,FEE REQUIRED
30,ART,105,A,INTRO TO COLOR THEORY IN PAINTING,3,M,,W,,,10:00:00 AM,11:15:00 AM,Sanders,36,
10,ART,111,A,INTRODUCTION TO SCULPTURE,3,M,,W,,,11:30:00 AM,12:45:00 PM,Sanders,37,FEE REQUIRED
10,ART,121,A,BEGINNING PRINTMAKING,3,,T,,R,,11:30:00 AM,12:45:00 PM,Brutscher,38,FEE REQUIRED
10,ART,201,A,HIST & APPREC OF ART I,3,,T,,R,,10:05:00 AM,11:20:00 AM,Carter,39,HUMA 301
30,ART,202,A,HIST & APPREC OF ART II,3,,T,,R,,10:05:00 AM,11:20:00 AM,Carter,40,HUMA 301
30,ART,207,A,CERAMICS II,3,,,W,,,3:00:00 PM,5:30:00 PM,Rhoades,41,ART 103  OR 104 FEE REQUIRED
10,ART,208,A,PUEBLO POTTERY,3,,,W,,,3:00:00 PM,5:30:00 PM,Rhoades,42,
30,ART,320,A,GALLERY STUDIES,3,,T,,R,,11:30:00 AM,12:45:00 PM,Brutscher,43,
30,ART,321,A,THE USE OF ART IN THE CLASSROOM,1,,T,,,,4:00:00 PM,4:50:00 PM,Heisey,44,EDUC 327/SOPH STATUS
10,ART,321,A,THE USE OF ART IN THE CLASSROOM,1,,T,,,,4:00:00 PM,4:50:00 PM,Heisey,45,EDUC 327/SOPH STATUS
10,ASTR,206,A,INTRO TO SKY MOTIONS & PLANETS,3,M,,W,,F,1:00:00 PM,1:50:00 PM,Clem,46,
10,ASTR,206,B,INTRO TO SKY MOTIONS & PLANETS,3,,,,,,,,Clem,47,
30,ASTR,207,A,INTRO TO STARS/GALAXIES/COSMOLOGY,3,M,,W,,F,10:00:00 AM,10:50:00 AM,Clem,48,
30,ASTR,207,B,INTRO TO STARS/GALAXIES/COSMOLOGY,3,M,,W,,F,1:00:00 PM,1:50:00 PM,Clem,49,
30,ASTR,207,C,INTRO TO STARS/GALAXIES/COSMOLOGY,3,,,,,,,,Clem,50,
10,ASTR,310,A,INTRODUCTION TO ASTROPHYSICS,3,M,,W,,,7:00:00 PM,8:15:00 PM,Clem,51,AS206 207;PH 101102121122
10,BIOL,101,A,GENERAL BIOLOGY I,4,M,,W,,F,9:00:00 AM,9:50:00 AM,Pazehoski,52,
10,BIOL,101,B,GENERAL BIOLOGY I,4,M,,W,,F,10:00:00 AM,10:50:00 AM,Pazehoski,53,
10,BIOL,101,L,LABORATORY,0,M,,,,,2:00:00 PM,4:59:00 PM,Antoszewski,54,LAB FEE
10,BIOL,101,M,LABORATORY,0,,T,,,,10:05:00 AM,12:59:00 PM,Lytle,55,LAB FEE
10,BIOL,101,N,LABORATORY,0,,T,,,,2:30:00 PM,5:29:00 PM,Strain,56,LAB FEE
10,BIOL,101,O,LABORATORY,0,,,W,,,2:00:00 PM,4:59:00 PM,Strain,57,LAB FEE
10,BIOL,101,P,LABORATORY,0,,,,R,,10:05:00 AM,12:59:00 PM,Lytle,58,LAB FEE
10,BIOL,101,Q,LABORATORY,0,,,,R,,2:30:00 PM,5:29:00 PM,Strain,59,LAB FEE
30,BIOL,102,A,GENERAL BIOLOGY II,4,M,,W,,F,8:00:00 AM,8:50:00 AM,Dudt,60,BIOL 101/INSTR OK
30,BIOL,102,B,GENERAL BIOLOGY II,4,M,,W,,F,9:00:00 AM,9:50:00 AM,Dudt,61,BIOL 101/INSTR OK
30,BIOL,102,L,LABORATORY,0,M,,,,,2:00:00 PM,4:59:00 PM,Jenkins,62,LAB FEE
30,BIOL,102,M,LABORATORY,0,,T,,,,10:05:00 AM,12:59:00 PM,Strain,63,LAB FEE
30,BIOL,102,N,LABORATORY,0,,T,,,,2:30:00 PM,5:29:00 PM,Dudt,64,LAB FEE
30,BIOL,102,O,LABORATORY,0,,,,R,,2:30:00 PM,5:29:00 PM,Strain,65,LAB FEE
30,BIOL,190,A,STUDY: INTRO TO BIOLOGY HEALTH,1,,,W,,,1:00:00 PM,2:59:00 PM,Farone,66,BIOL 101/BIOL Dept Freshman
10,BIOL,208,A,INTRO TO ENVIRONMENTAL EDUCATION,2,,T,,R,,5:00:00 PM,5:50:00 PM,McCullough,67,
10,BIOL,233,A,GENETICS,4,M,,W,,F,10:00:00 AM,10:50:00 AM,Antoszewski,68,BIOL 102
10,BIOL,233,B,GENETICS,4,M,,W,,F,11:00:00 AM,11:50:00 AM,Antoszewski,69,BIOL 102
10,BIOL,233,L,RECITATION,0,,T,,,,1:00:00 PM,2:15:00 PM,Antoszewski,70,
10,BIOL,233,M,RECITATION,0,,T,,,,1:00:00 PM,2:15:00 PM,Yowler,71,
10,BIOL,233,N,RECITATION,0,,T,,,,2:30:00 PM,3:45:00 PM,Antoszewski,72,
10,BIOL,233,O,RECITATION,0,,T,,,,2:30:00 PM,3:45:00 PM,Yowler,73,
30,BIOL,234,A,CELL BIOLOGY,4,M,,W,,F,10:00:00 AM,10:50:00 AM,Pazehoski,74,BIOL 233
30,BIOL,234,M,LABORATORY,0,,,,R,,10:05:00 AM,12:59:00 PM,Antoszewski,75,
30,BIOL,234,M,LABORATORY,0,,,,R,,10:05:00 AM,12:59:00 PM,Antoszewski,76,LAB FEE
