RefNum,Semester,DepartmentInfo,Name,TimeInfo,Credits,Professor,Description
50022,F,ACCT 201 A,PRINCIPLES OF ACCOUNTING I,TR 3:30 PM-4:45 PM,3,Keith B. Graybill,"ACCT 201. PRINCIPLES OF ACCOUNTING I. This introductory course focuses on the preparation and use of accounting information in the financial reporting environment. Emphasis is placed on the understanding and application of steps involved in the accounting cycle as well as on the recognition, measurement, and reporting issues associated with various financial statement accounts for sole proprietorships and partnerships using the accrual basis of accounting. The course also exposes the student to career opportunities in the accounting profession. Fall semester only, three hours plus lab."
50023,F,ACCT 201 B,PRINCIPLES OF ACCOUNTING I,MWF 10:00 AM-10:50 AM,3,Keith B. Graybill,"ACCT 201. PRINCIPLES OF ACCOUNTING I. This introductory course focuses on the preparation and use of accounting information in the financial reporting environment. Emphasis is placed on the understanding and application of steps involved in the accounting cycle as well as on the recognition, measurement, and reporting issues associated with various financial statement accounts for sole proprietorships and partnerships using the accrual basis of accounting. The course also exposes the student to career opportunities in the accounting profession. Fall semester only, three hours plus lab."
50024,F,ACCT 201 C,PRINCIPLES OF ACCOUNTING I,MWF 12:00 PM-12:50 PM,3,Tricia Michele Shultz,"ACCT 201. PRINCIPLES OF ACCOUNTING I. This introductory course focuses on the preparation and use of accounting information in the financial reporting environment. Emphasis is placed on the understanding and application of steps involved in the accounting cycle as well as on the recognition, measurement, and reporting issues associated with various financial statement accounts for sole proprietorships and partnerships using the accrual basis of accounting. The course also exposes the student to career opportunities in the accounting profession. Fall semester only, three hours plus lab."
50025,F,ACCT 201 D,PRINCIPLES OF ACCOUNTING I,MWF 1:00 PM-1:50 PM,3,Tricia Michele Shultz,"ACCT 201. PRINCIPLES OF ACCOUNTING I. This introductory course focuses on the preparation and use of accounting information in the financial reporting environment. Emphasis is placed on the understanding and application of steps involved in the accounting cycle as well as on the recognition, measurement, and reporting issues associated with various financial statement accounts for sole proprietorships and partnerships using the accrual basis of accounting. The course also exposes the student to career opportunities in the accounting profession. Fall semester only, three hours plus lab."
50026,F,ACCT 201 E,PRINCIPLES OF ACCOUNTING I,MWF 2:00 PM-2:50 PM,3,Keith B. Graybill,"ACCT 201. PRINCIPLES OF ACCOUNTING I. This introductory course focuses on the preparation and use of accounting information in the financial reporting environment. Emphasis is placed on the understanding and application of steps involved in the accounting cycle as well as on the recognition, measurement, and reporting issues associated with various financial statement accounts for sole proprietorships and partnerships using the accrual basis of accounting. The course also exposes the student to career opportunities in the accounting profession. Fall semester only, three hours plus lab."
50027,F,ACCT 301 A,INTERMEDIATE ACCOUNTING I,MWF 8:00 AM-8:50 AM,3,Keith B. Graybill,"ACCT 301. INTERMEDIATE ACCOUNTING I. A study of the financial statements with an emphasis on the income statement and asset section of the balance sheet. This course also focuses on accounting theory, the interpretation of financial accounting standards associated with the balance sheet, and International Financial Reporting Standards [IFRS]. Prerequisite: Accounting 202. Fall semester only, three hours plus lab."
50028,F,ACCT 303 A,COST ACCOUNTING,TR 8:00 AM-9:15 AM,3,Dr. Michelle R. McFeaters,"ACCT 303. COST ACCOUNTING. A study of cost flows in a manufacturing environment and the assignment of direct and indirect manufacturing costs to a company's cost of goods sold and inventory accounts by the application of job order, process, and standard costing systems. The course also focuses on the ways in which accounting information is used in operational decision-making. Prerequisites: Accounting 202. Fall semester only, three hours."
50029,F,ACCT 310 A,DATA ANALYTICS FOR ACCOUNTING,MWF 9:00 AM-9:50 AM,3,Mrs. Nicole Stone,"ACCT 310. DATA ANALYTICS FOR ACCOUNTING. This course will study data analytics and its applications in accounting contexts, with an emphasis on data preparation, modeling, analysis and interpretation, and visualization. Students will complete hands-on activities using data analysis software. Topics will include data analytics for accounting and identifying the questions, mastering the data, performing the testing plan and analyzing the results, communicating the results and visualizations, the modern accounting environment, and financial statement analytics. Prerequisite: Accounting 202. Semester course, three hours"
50031,F,ACCT 402 A,ADVANCED ACCOUNTING II,TR 9:30 AM-10:15 AM,3,Tricia Michele Shultz,"ACCT 402. ADVANCED ACCOUNTING II. A study of the financial accounting principles used in the preparation of general purpose financial statements for governmental units, not-for-profit corporations and associations including colleges and universities, health care entities, voluntary health and welfare organizations, and partnerships. Foreign exchange transactions and other special topics are also covered. Prerequisite: Accounting 202. Spring semester only, three hours."
50032,F,ACCT 403 A,AUDITING,T 6:30 PM-9:00 PM,3,Andrea Dawn DiDonato,"ACCT 403. AUDITING. A study of the duties and responsibilities of professional auditing, including types of audits and audit programs, audit planning, evidence, risk assessment, preparation of audit working papers, and audit reports. Prerequisites: Accounting 302 and 321. Fall semester only, three hours."
51126,F,ART 101 A,ELEMENTS AND PRINCIPLES OF DRAWING,TR 9:30 AM-10:45 AM,3,Glen E. Sanders,"ART 101. ELEMENTS AND PRINCIPLES OF DRAWING. This course introduces students to essential 2D art concepts and techniques using a variety of drawing tools to produce black and white renderings on paper. Semester course, three hours."
51127,F,ART 104 A,CERAMICS I WHEEL,T 6:30 PM-9:00 PM,3,Christian Bauer Jr.,"ART 104. CERAMICS I WHEEL. This is an introductory studio class designed to expose students to the potter�s wheel and throwing techniques used to produce hand-thrown vessels. The goal is to broaden students� understanding of clay as a viable medium for personal visual expression as they create unique, finished clay. An additional fee is charged for this course. Semester course, three hours."
51128,F,ART 105 A,INTRO TO COLOR THEORY IN PAINTING,TR 12:30 PM-1:45 PM,3,Glen E. Sanders,"ART 105 INTRODUCTION TO COLOR THEORY IN PAINTING. This course is an introduction to basic painting techniques and tools including acrylic, oil, and watercolor on a variety of substrates. Semester course, three hours."
51129,F,ART 201 A,HIST & APPREC OF ART I,TR 9:30 AM-10:45 AM,3,Dr. Beverly H. Carter,"ART 201. HISTORY AND APPRECIATION OF ART I. A survey of the visual arts (including painting, architecture, and sculpture) from prehistory through the High Renaissance, studied through illustrated lectures, readings, and class discussions. Students may take either Art 201 or 202 or both classes, in any order. Prerequisite: Humanities 301. Semester course, three hours."
51130,F,ART 207 A,CERAMICS II,W 6:30 PM-9:00 PM,3,Christian Bauer Jr.,"ART 207. CERAMICS II. This course is a continuation of the beginning ceramics class where students refine their understanding of the medium. Students are challenged to build a body of work and develop a personal style. An additional fee is charged for this course. Prerequisite: Art 103 or 104. Semester course, three hours."
50916,F,ASTR 206 A,INTRO TO SKY MOTIONS & PLANETS,MWF 1:00 PM-1:50 PM,3,James L. Clem,"ASTR 206. INTRODUCTION TO SKY MOTIONS AND PLANETS. An introduction to modern astronomy with an emphasis on the motions of the sun, moon, and stars in the sky; the solar system; and extrasolar planets. Includes observations with the campus observatory and an observational project. Open to all students. Fall semester only, three hours."
50917,F,ASTR 206 B,INTRO TO SKY MOTIONS & PLANETS,,3,James L. Clem,"ASTR 206. INTRODUCTION TO SKY MOTIONS AND PLANETS. An introduction to modern astronomy with an emphasis on the motions of the sun, moon, and stars in the sky; the solar system; and extrasolar planets. Includes observations with the campus observatory and an observational project. Open to all students. Fall semester only, three hours."
50918,F,ASTR 301 A,OBSERVATIONAL ASTRONOMY,T 7:00 PM-9:30 PM,4,James L. Clem,"ASTR 301. OBSERVATIONAL ASTRONOMY. Methods employed in modern optical observational astronomy. Topics covered include spherical trigonometry, time and coordinate systems, astronomical instruments, photometry, and spectroscopy. Students make extensive use of the campus observatory and the Grove City College observatory near Edinboro, Pennsylvania. Prerequisites: Astronomy 206 and 207. Alternate fall semesters, four hours."
50919,F,ASTR 301 L L,LABORATORY,R 7:00 PM-9:00 PM,0,James L. Clem,"ASTR 301. OBSERVATIONAL ASTRONOMY. Methods employed in modern optical observational astronomy. Topics covered include spherical trigonometry, time and coordinate systems, astronomical instruments, photometry, and spectroscopy. Students make extensive use of the campus observatory and the Grove City College observatory near Edinboro, Pennsylvania. Prerequisites: Astronomy 206 and 207. Alternate fall semesters, four hours."
